year,is_knockout,team_1_score,team_2_score,team_1_name,team_1_is_home_nation,team_1_top_goalscorers_count,team_1_premier_league_players,team_1_laliga_players,team_1_serie_a_players,team_1_bundesliga_players,team_1_ligue_1_players,team_1_players_finishing_top_three_europe_domestic,team_1_n_unique_clubs,team_1_qualified_last_time,team_1_made_r16_last_time,team_1_made_quarters_last_time,team_1_made_semis_last_time,team_1_made_final_last_time,team_1_ranking,team_2_name,team_2_is_home_nation,team_2_top_goalscorers_count,team_2_premier_league_players,team_2_laliga_players,team_2_serie_a_players,team_2_bundesliga_players,team_2_ligue_1_players,team_2_players_finishing_top_three_europe_domestic,team_2_n_unique_clubs,team_2_qualified_last_time,team_2_made_r16_last_time,team_2_made_quarters_last_time,team_2_made_semis_last_time,team_2_made_final_last_time,team_2_ranking
1998,0,1,0,colombia,0,0,0,2,1,0,0,1,17,1,0,0,0,0,10,tunisia,0,0,0,0,0,0,1,0,8,0,0,0,0,0,21
1998,0,2,1,romania,0,0,2,5,0,1,0,1,17,1,1,1,0,0,22,england,0,1,21,0,0,0,0,10,11,0,0,0,0,0,5
1998,0,1,1,romania,0,0,2,5,0,1,0,1,17,1,1,1,0,0,22,tunisia,0,0,0,0,0,0,1,0,8,0,0,0,0,0,21
1998,0,0,2,colombia,0,0,0,2,1,0,0,1,17,1,0,0,0,0,10,england,0,1,21,0,0,0,0,10,11,0,0,0,0,0,5
1998,0,1,3,jamaica,0,0,5,0,0,0,0,0,15,0,0,0,0,0,30,croatia,0,0,2,3,3,2,1,0,16,0,0,0,0,0,19
1998,0,1,0,argentina,0,0,0,4,11,0,0,3,15,1,1,0,0,0,6,japan,0,0,0,0,0,0,0,0,9,0,0,0,0,0,12
1998,0,0,1,japan,0,0,0,0,0,0,0,0,9,0,0,0,0,0,12,croatia,0,0,2,3,3,2,1,0,16,0,0,0,0,0,19
1998,0,5,0,argentina,0,0,0,4,11,0,0,3,15,1,1,0,0,0,6,jamaica,0,0,5,0,0,0,0,0,15,0,0,0,0,0,30
1998,0,1,2,japan,0,0,0,0,0,0,0,0,9,0,0,0,0,0,12,jamaica,0,0,5,0,0,0,0,0,15,0,0,0,0,0,30
1998,0,1,0,argentina,0,0,0,4,11,0,0,3,15,1,1,0,0,0,6,croatia,0,0,2,3,3,2,1,0,16,0,0,0,0,0,19
1998,1,4,1,brazil,0,2,0,3,6,1,0,5,16,1,1,1,1,1,1,chile,0,0,0,0,1,0,0,1,10,0,0,0,0,0,9
1998,1,1,0,italy,0,2,1,1,20,0,0,8,10,1,1,1,1,1,14,norway,0,0,11,1,0,2,0,5,15,1,0,0,0,0,7
1998,1,1,4,nigeria,0,1,1,3,2,0,3,5,19,1,1,0,0,0,74,denmark,0,0,4,0,2,3,0,5,18,0,0,0,0,0,27
1998,1,1,0,france,1,2,3,1,7,1,10,10,15,0,0,0,0,0,18,paraguay,0,0,0,2,0,0,0,0,19,0,0,0,0,0,29
1998,1,2,1,germany,0,3,1,0,2,17,1,10,11,1,1,1,0,0,2,mexico,0,0,0,0,0,0,0,0,10,1,1,0,0,0,4
1998,1,2,1,netherlands,0,1,4,4,3,0,0,7,12,1,1,1,0,0,25,yugoslavia,0,0,1,7,5,1,1,2,21,0,0,0,0,0,8
1998,1,2,2,argentina,0,0,0,4,11,0,0,3,15,1,1,0,0,0,6,england,0,1,21,0,0,0,0,10,11,0,0,0,0,0,5
1998,1,0,1,romania,0,0,2,5,0,1,0,1,17,1,1,1,0,0,22,croatia,0,0,2,3,3,2,1,0,16,0,0,0,0,0,19
1998,1,0,0,italy,0,2,1,1,20,0,0,8,10,1,1,1,1,1,14,france,1,2,3,1,7,1,10,10,15,0,0,0,0,0,18
1998,1,3,2,brazil,0,2,0,3,6,1,0,5,16,1,1,1,1,1,1,denmark,0,0,4,0,2,3,0,5,18,0,0,0,0,0,27
1998,1,0,3,germany,0,3,1,0,2,17,1,10,11,1,1,1,0,0,2,croatia,0,0,2,3,3,2,1,0,16,0,0,0,0,0,19
1998,1,2,1,netherlands,0,1,4,4,3,0,0,7,12,1,1,1,0,0,25,argentina,0,0,0,4,11,0,0,3,15,1,1,0,0,0,6
1998,1,1,1,brazil,0,2,0,3,6,1,0,5,16,1,1,1,1,1,1,netherlands,0,1,4,4,3,0,0,7,12,1,1,1,0,0,25
1998,1,2,1,france,1,2,3,1,7,1,10,10,15,0,0,0,0,0,18,croatia,0,0,2,3,3,2,1,0,16,0,0,0,0,0,19
1998,1,1,2,netherlands,0,1,4,4,3,0,0,7,12,1,1,1,0,0,25,croatia,0,0,2,3,3,2,1,0,16,0,0,0,0,0,19
1998,1,0,3,brazil,0,2,0,3,6,1,0,5,16,1,1,1,1,1,1,france,1,2,3,1,7,1,10,10,15,0,0,0,0,0,18
1994,0,1,1,united states,1,0,3,0,0,2,0,2,20,1,0,0,0,0,23,switzerland,0,1,0,0,0,3,0,1,13,0,0,0,0,0,12
1994,0,1,3,colombia,0,0,0,0,1,1,0,2,9,1,1,0,0,0,17,romania,0,0,0,1,2,1,0,1,15,1,1,0,0,0,7
1994,0,1,4,romania,0,0,0,1,2,1,0,1,15,1,1,0,0,0,7,switzerland,0,1,0,0,0,3,0,1,13,0,0,0,0,0,12
1994,0,2,1,united states,1,0,3,0,0,2,0,2,20,1,0,0,0,0,23,colombia,0,0,0,0,1,1,0,2,9,1,1,0,0,0,17
1994,0,0,1,united states,1,0,3,0,0,2,0,2,20,1,0,0,0,0,23,romania,0,0,0,1,2,1,0,1,15,1,1,0,0,0,7
1994,0,0,2,switzerland,0,1,0,0,0,3,0,1,13,0,0,0,0,0,12,colombia,0,0,0,0,1,1,0,2,9,1,1,0,0,0,17
1994,0,2,2,cameroon,0,0,0,0,0,0,3,0,15,1,1,1,0,0,24,sweden,0,0,0,0,0,0,0,0,2,1,0,0,0,0,10
1994,0,2,0,brazil,0,1,0,3,2,3,2,6,17,1,1,0,0,0,3,russia,0,0,1,2,0,2,1,1,11,0,0,0,0,0,19
1994,0,3,0,brazil,0,1,0,3,2,3,2,6,17,1,1,0,0,0,3,cameroon,0,0,0,0,0,0,3,0,15,1,1,1,0,0,24
1994,0,3,1,sweden,0,0,0,0,0,0,0,0,2,1,0,0,0,0,10,russia,0,0,1,2,0,2,1,1,11,0,0,0,0,0,19
1994,0,6,1,russia,0,0,1,2,0,2,1,1,11,0,0,0,0,0,19,cameroon,0,0,0,0,0,0,3,0,15,1,1,1,0,0,24
